machine_id,machine_type,issue,action_taken,technician,maintenance_date,downtime_hours
M004,Drill,Lỏng vít,Kiểm tra hệ thống làm mát,Trần Thị B,2024-04-16,8.9
M002,Welder,Không khởi động được,Vệ sinh máy,Nguyễn Văn A,2024-03-31,10.8
M004,CNC,Hỏng dây chuyền,Siết lại vít,Lê Thị D,2023-08-22,7.3
M001,CNC,Không khởi động được,Cập nhật phần mềm,Phạm Văn C,2024-02-26,1.3
M003,CNC,Lỏng vít,Siết lại vít,Trần Thị B,2023-01-15,7.3
M002,CNC,Hỏng cảm biến,Siết lại vít,Hoàng Văn E,2023-07-14,4.2
M003,Drill,Không khởi động được,Kiểm tra nguồn điện,Phạm Văn C,2024-07-27,10.3
M001,Conveyor,Quá tải,Kiểm tra nguồn điện,Hoàng Văn E,2023-02-05,11.1
M002,Welder,Cảm biến rung bất thường,Cập nhật phần mềm,Lê Thị D,2023-08-30,1.3
M001,Welder,Quá tải,Cập nhật phần mềm,Phạm Văn C,2023-09-27,9.5
M003,Drill,Cảm biến rung bất thường,Thay cảm biến,Nguyễn Văn A,2023-12-31,2.1
M004,Welder,Rò rỉ dầu,Vệ sinh máy,Trần Thị B,2024-07-31,3.6
M001,Drill,Hỏng dây chuyền,Thay dầu,Nguyễn Văn A,2023-12-06,2.2
M001,Welder,Nhiệt độ quá cao,Hiệu chỉnh motor,Phạm Văn C,2024-08-20,10.9
M002,Conveyor,Lỏng vít,Kiểm tra hệ thống làm mát,Lê Thị D,2023-10-02,2.2
M001,Welder,Hỏng cảm biến,Cập nhật phần mềm,Hoàng Văn E,2024-01-18,8.2
M003,Conveyor,Không khởi động được,Thay dầu,Nguyễn Văn A,2024-02-01,10.9
M004,Welder,Nhiệt độ quá cao,Vệ sinh máy,Hoàng Văn E,2023-09-03,3.5
M004,Welder,Hư motor,Thay dầu,Phạm Văn C,2024-09-26,1.1
M003,CNC,Quá tải,Thay cảm biến,Trần Thị B,2024-04-04,10.1
M001,Conveyor,Nhiệt độ quá cao,Siết lại vít,Phạm Văn C,2023-12-28,4.0
M002,Drill,Không khởi động được,Siết lại vít,Lê Thị D,2024-02-29,3.4
M002,CNC,Lỏng vít,Vệ sinh máy,Hoàng Văn E,2024-09-07,2.3
